badge,prize,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,expenses,Garage
$,24000,24000,David Magdalena 2500. Entre Av. urquiza,"Caseros, Tres de Febrero",41,2,1,1,/propiedades/departamento-2-ambientes.-david-magdalena-al-2500-48145545.html,Departamento 2 Ambientes. | David Magdalena Al 2500,Publicado desde ayer,,
$,26000,28500,Carlos Guido Spano 1050,"Villa Bosch, Tres de Febrero",33,1,,1,/propiedades/departamento-monoambiente-de-33-m-sup2-48146483.html,Departamento Monoambiente de 33 m²,Publicado desde ayer,2500.0,
USD,24000,24000,DE TATA WENCESLAO 4529. Entre Rauch y Perdiguero,"Caseros, Tres de Febrero",42,2,1,1,/propiedades/departamento-2-ambientes.-de-tata-wenceslao-4529-48146432.html,Departamento 2 Ambientes. | de Tata Wenceslao 4529,Publicado desde ayer,,
$,30500,33000,Cavassa 2640,"Caseros, Tres de Febrero",44,2,1,1,/propiedades/unico-dpto-2-amb-p-baja-con-patio-48141387.html,Único Dpto 2 Amb P Baja con Patio,Publicado desde ayer,2500.0,
$,20000,20000,Caseros,"Caseros, Tres de Febrero",31,1,1,1,/propiedades/monoambiente-gral.-manuel-belgrano-al-4500-48137412.html,Monoambiente | Gral. Manuel Belgrano Al 4500,Publicado hace 2 días,,
$,28000,29000,Mitre 2900 1°,"Caseros, Tres de Febrero",48,2,1,1,/propiedades/depto-amplio-y-luminoso:-impecable:-excelente-48141765.html,Depto Amplio y Luminoso: Impecable: Excelente Ubicacion,Publicado hace 2 días,1000.0,
$,28000,28000,Quintana 1242,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-dos-ambientes-planta-alta-al-frente-48140458.html,Departamento Dos Ambientes Planta Alta Al Frente,Publicado hace 2 días,,
$,18000,18000,Caseros,"Caseros, Tres de Febrero",29,1,,1,/propiedades/departamento-monoambiente.-murias-2078-48141947.html,Departamento Monoambiente. | Murias 2078,Publicado hace 2 días,,
$,23000,23000,Luis M. Campos,"Villa Bosch, Tres de Febrero",45,2,1,1,/propiedades/departamento-en-alquiler-en-villa-bosch-48138041.html,Departamento en Alquiler en Villa Bosch,Publicado hace 2 días,,
$,23500,23500,Del Kaiser al 1200,"Villa Bosch, Tres de Febrero",,2,1,1,/propiedades/departamento-villa-bosch-48119289.html,Departamento - Villa Bosch,Publicado hace 6 días,,
$,19000,19000,Belgrano 4400,"Caseros, Tres de Febrero",28,1,1,1,/propiedades/monoambiente-en-alquiler-en-caseros-48116697.html,Monoambiente en Alquiler en Caseros,Publicado hace 7 días,,
$,26000,28500,Miguel Ángel 5681,"Villa Bosch, Tres de Febrero",44,2,1,1,/propiedades/departamento-2-ambientes-48117443.html,Departamento 2 Ambientes,Publicado hace 7 días,2500.0,
$,19000,19000,Martín Coronado,"Martín Coronado, Tres de Febrero",33,1,,1,/propiedades/alquilo-en-estacion-martin-coronado-departamento-de-1-48108571.html,Alquilo en Estacion Martin Coronado Departamento de 1 Ambiente a Estrenar con Balcon Corrido Sin Ani,Publicado hace 8 días,,
$,42000,42000,Caseros,"Caseros, Tres de Febrero",120,4,3,2,/propiedades/en-alquiler-en-caseros-sobre-mitre-al-5800-48109134.html,"En Alquiler en Caseros Sobre Mitre Al 5800, Departamento en 1er Piso Al Frente de 4 Ambientes con 2",Publicado hace 8 días,,
$,24000,27000,Justo Jose de Urquiza 5000. Entre Gral. hornos y Constitucion,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/depto-monoambiente-en-el-centro-de-caseros-48109614.html,Depto Monoambiente en El Centro de Caseros,Publicado hace 8 días,3000.0,
$,26500,26500,Av. San Martin 1300. Entre Marco polo y Aristobulo del valle,"Caseros, Tres de Febrero",41,2,1,1,/propiedades/departamento-2-ambientes.-av-san-martin-al-1300-48100607.html,Departamento 2 Ambientes. | Av San Martin Al 1300,Publicado hace 9 días,,
$,24000,26500,Ntra. Sra de la Merced 4300,"Caseros, Tres de Febrero",33,1,1,1,/propiedades/monoambiente-en-alquiler-en-caseros-48089282.html,Monoambiente en Alquiler en Caseros,Publicado hace 11 días,2500.0,
$,20000,22300,W. de Tata al 4500,"Caseros, Tres de Febrero",25,1,1,1,/propiedades/departamento-caseros-48075276.html,Departamento - Caseros,Publicado hace 15 días,2300.0,
$,30000,30000,Av. San Martin 3300. Entre Rebizzo y Parodi,"Caseros, Tres de Febrero",60,3,2,1,/propiedades/departamento-3-ambientes.-av-san-martin-al-3300-48069605.html,Departamento 3 Ambientes. | Av San Martin Al 3300,Publicado hace 16 días,,
$,26000,28500,Alicia Moreau de Justo 2847,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/dos-ambientes-excelente-ubicacion-caseros-centro.-48063254.html,"Dos Ambientes - Excelente Ubicacion, Caseros Centro.",Publicado hace 16 días,2500.0,
$,25000,25000,Illia Nº al 1200,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-villa-bosch-48054780.html,Departamento - Villa Bosch,Publicado hace 18 días,,
$,20000,21200,Avenida Libertador General San Martín 2200,"Caseros, Tres de Febrero",25,1,,1,/propiedades/alquiler-monoambiente-centro-caseros-48054350.html,Alquiler Monoambiente Centro Caseros,Publicado hace 18 días,1200.0,
$,20000,22700,Pasaje Galvan 2600. Entre Pres. kennedy y Gral. manuel belgrano,"Caseros, Tres de Febrero",29,1,1,1,/propiedades/mono-ambiente-con-cochera-en-alquiler-caseros-48036373.html,"Mono Ambiente con Cochera en Alquiler, Caseros",Publicado hace 22 días,2700.0,1
$,19000,21600,Caseros,"Caseros, Tres de Febrero",27,1,,1,/propiedades/departamento-monoambiente.-frugone-2960-48042502.html,Departamento Monoambiente. | Frugone 2960,Publicado hace 22 días,2600.0,
$,23000,23000,MONTEAGUDO 1100. Entre Santos vega y Ascasubi,"Villa Bosch, Tres de Febrero",45,2,1,,/propiedades/en-alquiler-ph-2-ambientes-villa-bosch-48030898.html,"En Alquiler PH 2 Ambientes, Villa Bosch",Publicado hoy,,
$,23000,23000,Perdiguero 1200 pb,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/ph-de-2-ambientes-en-planta-baja-48027804.html,PH de 2 Ambientes en Planta Baja,Publicado hace 24 días,,
$,35000,35500,Gabriel Linares 4650,"Caseros, Tres de Febrero",100,3,2,1,/propiedades/departamento-47998816.html,Departamento,Publicado hace 4 días,500.0,
$,22000,25000,Avenida Mitre 4965,"Caseros, Tres de Febrero",35,1,,1,/propiedades/departamento-de-1-ambientes-con-balcon-47999400.html,Departamento de 1 Ambientes con Balcon,Publicado hace 30 días,3000.0,
$,25000,29174,MARCO POLO 5116. Entre Hornos general y Baldini maestra,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-2-ambientes.-marco-polo-5116-47986575.html,Departamento 2 Ambientes. | Marco Polo 5116,Publicado hace 32 días,4174.0,
$,25000,25000,Belgrano 4400,"Caseros, Tres de Febrero",25,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47987952.html,Departamento en Alquiler en Caseros,Publicado hace 31 días,,
$,30000,33000,Cavassa 2800,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47986444.html,Departamento en Alquiler en Caseros,Publicado hace 32 días,3000.0,1
$,27500,30000,Moreno 4500 1°,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-de-2-ambientes-con-balcon-al-frente-47978819.html,Departamento de 2 Ambientes con Balcón Al Frente,Publicado hace 35 días,2500.0,
$,40000,47700,Justo Jose de Urquiza 4700. Entre Av. san martin y 3 de febrero,"Caseros, Tres de Febrero",68,3,2,1,/propiedades/depto-3-amb.-en-caseros-47965692.html,Depto 3 Amb. en Caseros,Publicado hace 37 días,7700.0,
$,20000,22500,Wenceslao De Tata 4500 4°,"Caseros, Tres de Febrero",34,,,1,/propiedades/amplio-monoambiente-exelente-ubicacion-47964801.html,Amplio Monoambiente Exelente Ubicación,Publicado hace 16 días,2500.0,
$,21000,25500,LA MERCED 4820,"Caseros, Tres de Febrero",45,2,1,1,/propiedades/departamento-2-ambientes-en-el-centro-de-caseros-47964370.html,Departamento 2 Ambientes en El Centro de Caseros,Publicado hace 36 días,4500.0,
$,33000,37500,3 de Febrero 2900. Entre Av. mitre y La merced,"Caseros, Tres de Febrero",55,3,2,1,/propiedades/departamento-3-ambientes.-3-de-febrero-al-2900-47964228.html,Departamento 3 Ambientes. | 3 de Febrero Al 2900,Publicado hace 37 días,4500.0,
$,19000,19000,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",,,,,/propiedades/monoambiente-en-alquiler.-excelente-estado.-muy-buena-47820393.html,Monoambiente en Alquiler. Excelente Estado. Muy Buena Ubicacion en Ciudad Jardin,Publicado hoy,,
$,24700,24700,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",,,,,/propiedades/departamento-en-alquiler-ciudad-jardin-47753666.html,Departamento en Alquiler Ciudad Jardin,Publicado hoy,,
$,17000,19800,Caseros,"Caseros, Tres de Febrero",26,1,,1,/propiedades/departamento-monoambiente.-urquiza-av-gral-4543-47932015.html,Departamento Monoambiente. | Urquiza Av Gral 4543,Publicado hace 44 días,2800.0,
$,20000,21100,Guarmini al 5500,"Caseros, Tres de Febrero",60,1,1,1,/propiedades/alquiler-departamento-caseros-47925779.html,Alquiler Departamento - Caseros,Publicado hace 45 días,1100.0,
$,22000,25300,Caseros,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/departamento-2-ambientes.-san-martin-av-2665-47917759.html,Departamento 2 Ambientes. | San Martin Av 2665,Publicado hace 10 días,3300.0,
$,28000,28600,"Mitre 2975, 1ER Piso, DTO 4","Caseros, Tres de Febrero",51,2,1,1,/propiedades/departamento-caseros-47906512.html,Departamento - Caseros,Publicado hace 50 días,600.0,
$,23000,23600,LA Merced al 4300,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-caseros-47904615.html,Departamento - Caseros,Publicado hace 51 días,600.0,
$,17000,17000,San Leonardo Murialdo 1900,"Caseros, Tres de Febrero",27,1,,1,/propiedades/monoambiente-en-alquiler-en-caseros-47903351.html,Monoambiente en Alquiler en Caseros,Publicado hace 51 días,,
$,20000,22500,Belgrano 4967,"Caseros, Tres de Febrero",32,1,,1,/propiedades/departamento-de-un-ambiente-47895302.html,Departamento de un Ambiente,Publicado hace 52 días,2500.0,
$,20000,22000,Jose Murias 2078,"Caseros, Tres de Febrero",32,,,1,/propiedades/departemento-de-1-ambiente-caseros-norte-47895239.html,Departemento de 1 Ambiente Caseros Norte,Publicado hace 52 días,2000.0,
$,23000,26500,Avenida San Martin 1200,"Caseros, Tres de Febrero",36,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-46121158.html,Departamento en Alquiler en Caseros,Publicado hace 55 días,3500.0,
$,25000,27000,"David Magdalena 2850, 4TO D","Caseros, Tres de Febrero",,1,,1,/propiedades/departamento-caseros-47849218.html,Departamento - Caseros,Publicado hace 63 días,2000.0,1
$,17000,19800,Gral. Manuel Belgrano 4800. Entre Andrés ferreyra y 3 de febrero,"Caseros, Tres de Febrero",30,1,,1,/propiedades/depto-monoambiente-en-caseros-zona-centro.-apto-47847410.html,Depto Monoambiente en Caseros Zona Centro. Apto Profesional,Publicado hace 64 días,2800.0,
$,35000,35000,Perdiguero 1200 PB,"Caseros, Tres de Febrero",50,3,2,1,/propiedades/departamento-de-3-ambientes-en-planta-baja-47818577.html,Departamento de 3 Ambientes en Planta Baja,Publicado hace 67 días,,
$,24500,26500,wenceslao de tata 4529,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/dos-ambiente-al-frente-40-m-47811611.html,Dos Ambiente Al Frente 40 m,Publicado hace 3 días,2000.0,
$,19000,20700,alicia moreau de justo 2978,"Caseros, Tres de Febrero",36,2,1,1,/propiedades/reservado-alquiler-depto-2-amb-con-balcon-caseros-47812272.html,Reservado//alquiler - Depto 2 Amb con Balcon - Caseros Centro,Publicado hace 53 días,1700.0,
$,28000,29000,Perdiguero 2000,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47805605.html,Departamento en Alquiler en Caseros,Publicado hace 70 días,1000.0,
$,22500,22500,"Peru 3219, P.alta","Caseros, Tres de Febrero",45,2,1,1,/propiedades/departamento-caseros-47774353.html,Departamento - Caseros,Publicado hace 77 días,,
$,18000,18000,Av. San Martin 2200. Entre Juan bautista alberdi y Dr. amadeo sabattini,"Caseros, Tres de Febrero",55,1,,1,/propiedades/depto-monoambiente-con-patio-en-caseros-47765056.html,Depto Monoambiente con Patio en Caseros,Publicado hace 39 días,,
$,18000,18000,Av. San Martin 1300. Entre Marco polo y Aristobulo del valle,"Caseros, Tres de Febrero",28,1,1,1,/propiedades/departamento-1-ambiente.-av-san-martin-al-1300-47765076.html,Departamento 1 Ambiente. | Av San Martin Al 1300,Publicado hace 15 días,,1
$,26000,26000,Campo de Mayo 7385,"Martín Coronado, Tres de Febrero",89,2,1,1,/propiedades/departamento-tipo-casa-dos-ambientes-al-fondo-47743345.html,Departamento Tipo Casa Dos Ambientes Al Fondo,Publicado hace 22 días,,
$,24000,27100,Caseros,"Caseros, Tres de Febrero",31,2,1,1,/propiedades/departamento-2-ambientes.-de-tata-wenceslao-4941-47680156.html,Departamento 2 Ambientes. | de Tata Wenceslao 4941,Publicado hace 95 días,3100.0,
$,30000,31500,Alvear al 2600,"Caseros, Tres de Febrero",,3,2,1,/propiedades/departamento-caseros-47623308.html,Departamento - Caseros,Publicado hace 106 días,1500.0,
$,24000,26000,Caseros,"Caseros, Tres de Febrero",55,2,1,1,/propiedades/alquilo-en-caseros-hermoso-departamento-de-2-ambientes-47611287.html,Alquilo en Caseros Hermoso Departamento de 2 Ambientes a Estrenar con Fondo Propio Planta Baja Al Fr,Publicado hace 8 días,2000.0,
$,20000,23300,"Nuestra Señora de La Merced 4800. Entre Ferreyra, andres y 3 de febrero","Caseros, Tres de Febrero",32,1,,1,/propiedades/1-ambiente-alquiler-caseros-la-merced-4800-sum-47551732.html,1 Ambiente Alquiler Caseros La Merced 4800 Sum,Publicado hace 122 días,3300.0,
$,18500,19600,Alem 8098,"Martín Coronado, Tres de Febrero",45,1,,1,/propiedades/amplio-departamento-monoambiente-a-estrenar-wifi-47504353.html,Amplio Departamento Monoambiente a Estrenar Wifi,Publicado hace 22 días,1100.0,
$,20000,22300,HORNOS GENERAL 2720. Entre Belgrano y Moreno,"Caseros, Tres de Febrero",28,1,,,/propiedades/departamento-monoambiente.-hornos-general-2720-47465296.html,Departamento Monoambiente. | Hornos General 2720,Publicado hace 37 días,2300.0,
$,16000,16000,Guemes 5100,"Villa Bosch, Tres de Febrero",20,1,,1,/propiedades/departamento-monoambiente-planta-baja-frente.-47409560.html,Departamento Monoambiente Planta Baja Frente.,Publicado hace 149 días,,
$,25000,25000,Guemes 5030,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-dos-ambientes-planta-baja-al-frente-47362895.html,Departamento Dos Ambientes Planta Baja Al Frente Independiente,Publicado hace 162 días,,
$,20000,20000,Marco Polo 5288,"Villa Bosch, Tres de Febrero",38,2,1,1,/propiedades/depto.-2-amb-con-balcon-47297817.html,Depto. 2 Amb con Balcón,Publicado hace 18 días,,
$,22000,26000,Caseros,"Caseros, Tres de Febrero",30,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-dueno-alquila-46795250.html,Departamento en Alquiler en Caseros - Dueño Alquila,Publicado desde ayer,4000.0,
USD,300,300,Olavarria al 2600,"Caseros, Tres de Febrero",35,1,,1,/propiedades/departamento-caseros-46422189.html,Departamento - Caseros,Publicado hace 350 días,,
$,22000,23700,Lisandro Medina 2245,"Caseros, Tres de Febrero",31,1,,1,/propiedades/apto-profesional-monoambiente-46217712.html,Apto Profesional Monoambiente,Publicado hace 59 días,1700.0,
$,24000,24000,FERNANDEZ DE OLIVERA 3705,"Caseros, Tres de Febrero",65,2,,1,/propiedades/departamento-tipo-casa-2-ambientes-patio-terraza-sin-46205752.html,Departamento Tipo Casa 2 Ambientes Patio Terraza Sin Expensas,Publicado hace 5 días,,
$,17000,18500,Caseros,"Caseros, Tres de Febrero",24,1,1,1,/propiedades/alquilo-en-caseros-departamento-en-2do-piso-de-2-45671394.html,Alquilo en Caseros Departamento en 2do Piso de 2 Ambientes con Baño Instalado a 6 Cuadras de La Esta,Publicado hace 9 días,1500.0,
$,17000,19500,Martín Coronado,"Martín Coronado, Tres de Febrero",38,2,1,1,/propiedades/alquilo-en-martin-coronado-panama-y-betharram-45584267.html,Alquilo en Martin Coronado Panama y Betharram Departamento de 1 Dormitorio Patio F: 6296,Publicado hace 2 días,2500.0,
$,43000,47200,Juan Xxiii 1500 2°,"Martín Coronado, Tres de Febrero",85,3,2,2,/propiedades/hermoso-duplex-3-amb.-c.-cochera.-en-2-c.-ascensor-45561998.html,Hermoso Duplex 3 Amb. C. Cochera. en 2º C. Ascensor,Publicado hace 7 días,4200.0,1
$,38000,38000,CAVASSA 3000,"Caseros, Tres de Febrero",90,3,2,1,/propiedades/departamento-en-alquiler-en-caseros-45486381.html,Departamento en Alquiler en Caseros,Publicado hace 166 días,,
$,20000,20000,Pasaje Quintas 2700,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/departamento-tipo-casa-en-alquiler-en-caseros-45425268.html,Departamento Tipo Casa en Alquiler en Caseros,Publicado hace 77 días,,
$,30000,30000,CHICLANA,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/alquiler-de-depto.-de-2-amb.-en-caseros-45356051.html,Alquiler de Depto. de 2 Amb. en Caseros,Publicado hace 9 días,,
$,27000,27000,Avenida Mitre 5600,"Caseros, Tres de Febrero",56,2,1,1,/propiedades/departamento-tipo-casa-en-alquiler-en-caseros-45255488.html,Departamento Tipo Casa en Alquiler en Caseros,Publicado hace 15 días,,
$,24000,24000,Jose Murias 2100. Entre Wencenlao de tata y Sabatini,"Caseros, Tres de Febrero",44,2,1,1,/propiedades/departamento-2-ambientes.-jose-murias-al-2100-44951219.html,Departamento 2 Ambientes. | Jose Murias Al 2100,Publicado desde ayer,,1
$,18000,19500,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",30,1,1,1,/propiedades/en-alquiler-en-ciudad-jardin-a-1-cuadra-de-la-estacion-44863910.html,En Alquiler en Ciudad Jardin a 1 Cuadra de La Estacion de Martin Coronado; Mono Ambiente por Escaler,Publicado hace 28 días,1500.0,
$,17500,19700,Rauch 2014 caseros,"Caseros, Tres de Febrero",28,,,1,/propiedades/alquilo-1-ambiente-muy-luminoso-con-balcon-excelente-44859548.html,"Alquilo 1 Ambiente, Muy Luminoso con Balcón Excelente Ubicación",Publicado hace 5 días,2200.0,
$,27000,27000,Alberdi 4500. Entre Rauch y Perdiguero,"Caseros, Tres de Febrero",36,2,1,1,/propiedades/departamento-2-ambientes.-alberdi-al-4500-44600621.html,Departamento 2 Ambientes. | Alberdi Al 4500,Publicado hace 65 días,,
$,22000,24800,LISANDRO MEDINA 2089,"Caseros, Tres de Febrero",35,1,,1,/propiedades/monoambiente-apto-profesional-44582033.html,Monoambiente Apto Profesional,Publicado hace 81 días,2800.0,
$,18500,20513,Gral. Manuel Belgrano 4800. Entre Andres ferreyra y 3 de febrero,"Caseros, Tres de Febrero",32,1,,1,/propiedades/departamento-monoambiente.-gral.-manuel-belgrano-al-44481303.html,Departamento Monoambiente. | Gral. Manuel Belgrano Al 4800,Publicado hace 23 días,2013.0,
$,22000,25000,Jose Maria Bosch 1277,"Caseros, Tres de Febrero",32,1,,1,/propiedades/monoambiente-en-edificio-contrafrente-44470439.html,Monoambiente en Edificio Contrafrente,Publicado hace más de 1 año,3000.0,
$,26000,26000,Constitucion 2600. Entre Belgrano y Urquiza,"Caseros, Tres de Febrero",38,2,1,1,/propiedades/departamento-2-ambientes.-constitucion-al-2600-44360821.html,Departamento 2 Ambientes. | Constitucion Al 2600,Publicado hace 25 días,,
$,17000,17000,Gral. Manuel Belgrano 4800. Entre Andres ferreyra y 3 de febrero,"Caseros, Tres de Febrero",29,1,,1,/propiedades/departamento-monoambiente.-gral.-manuel-belgrano-al-44278655.html,Departamento Monoambiente. | Gral. Manuel Belgrano Al 4800,Publicado hace 39 días,,
$,25000,25000,Padre. Carranza 1410,"Caseros, Tres de Febrero",31,2,1,1,/propiedades/departamento-tipo-casa-dos-ambientes-planta-baja-al-43939484.html,Departamento Tipo Casa Dos Ambientes Planta Baja Al Frente.,Publicado hace 37 días,,
$,25000,25000,Guemes 5030,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-dos-ambientes-planta-baja-al-frente-43218380.html,Departamento Dos Ambientes Planta Baja Al Frente Independiente,Publicado hace 72 días,,
$,65000,65000,"DE LA TORRE, LISANDRO 2100. Entre Amadeo sabattini y Wenceslao de tata","Caseros, Tres de Febrero",210,4,3,2,/propiedades/ph-4-ambientes-lisandro-de-la-torre-2100-42169563.html,PH 4 Ambientes Lisandro de La Torre 2100,Publicado hace 15 días,,1
